Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
syb_skill8,Fishing,Fishing,Fishing,Fishing,Рыбалка,Fishing,Fishing,Fishing,Fishing,Fishing,Fishing,Fishing,Fishing,Fishing
syb_skill9,Mechanics,Mechanics,Mechanics,Mechanics,Механика,Mechanics,Mechanics,Mechanics,Mechanics,Mechanics,Mechanics,Mechanics,Mechanics,Mechanics
syb_skill10,Electronics,Electronics,Electronics,Electronics,Электроника,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics
syb_skill11,Carpentry,Carpentry,Carpentry,Carpentry,Плотничество,Carpentry,Carpentry,Carpentry,Carpentry,Carpentry,Carpentry,Carpentry,Carpentry,Carpentry
syb_skill12,Metalworking,Metalworking,Metalworking,Metalworking,Металлообработка,Metalworking,Metalworking,Metalworking,Metalworking,Metalworking,Metalworking,Metalworking,Metalworking,Metalworking
syb_skill13,Building,Building,Building,Building,Строительство,Building,Building,Building,Building,Building,Building,Building,Building,Building
syb_skill14,Firearm,Firearm,Firearm,Firearm,Оружие,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm
syb_skill15,Lockpicking,Lockpicking,Lockpicking,Lockpicking,Взлом,Lockpicking,Lockpicking,Lockpicking,Lockpicking,Lockpicking,Lockpicking,Lockpicking,Lockpicking,Lockpicking
syb_skill16,Herbalism,Herbalism,Herbalism,Herbalism,Травничество,Herbalism,Herbalism,Herbalism,Herbalism,Herbalism,Herbalism,Herbalism,Herbalism,Herbalism
syb_skill17,Tailoring,Tailoring,Tailoring,Tailoring,Портняжное дело,Tailoring,Tailoring,Tailoring,Tailoring,Tailoring,Tailoring,Tailoring,Tailoring,Tailoring
syb_skill_desc6,"Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Фермерство позволяет вам более эффективно выращивать сельско-хозяйственные культуры, собирать урожай и разводить скот. Для тренировки навыка выращивайте овощи и фрукты, консервируйте или сушите их.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them.","Farming allows you to grow crops, harvest crops, and raise livestock more efficiently. To train the skill, grow vegetables and fruits, canning or drying them."
syb_skill_desc8,"The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","Навык рыбной ловли позволяет более эффективно ловить рыбу, создавать и использовать рыболовные снасти и сети. Чтобы тренировать навык, ловите рыбу.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish.","The fishing skill allows you to fish more effectively, create and use fishing equipment and nets. To train a skill, fish."
syb_skill_desc9,"The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","Навык механики позволяет создавать, ремонтировать и разбирать различные технические устройства. Для тренировки навыка разбирайте старую технику в домах и создавайте собственную. Ремонтируйте транспорт и другие технические устройства.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices.","The mechanic skill allows you to create, repair and disassemble various technical devices. To train the skill, disassemble old equipment in houses and create your own. Repair vehicles and other technical devices."
syb_skill_desc10,"Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Навык электроники позволяет создавать и ремонтировать различные электронные устройства, а так же разбирать на детали уже имеющиеся устройства. Для тренировки навыка разбирайте старую технику в домах и создавайте собственную.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own.","Electronics skill allows you to create and repair various electronic devices, as well as disassemble existing devices into parts. To train the skill, disassemble old equipment in houses and create your own."
syb_skill_desc11,"The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.",Навык плотника позволяет более эффективно работать с деревом и столярным верстаком. Для улучшения навыка создавайте новые вещи или разбирайте старые на столярном верстаке.,"The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench.","The carpenter skill allows you to work more efficiently with wood and carpentry workbench. To improve the skill, create new things or disassemble old ones at the carpenter's workbench."
syb_skill_desc12,"The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.",Навык металлообработки позволяет более эффективно работать с металлом и токарным станком. Для повышения мастерства создавайте новые вещи или разбирайте старые на токарном станке.,"The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe.","The metalworking skill allows you to work more efficiently with metal and a lathe. To improve the skill, create new things or disassemble old ones on a lathe."
syb_skill_desc13,"The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","Навык строительства позволяет вам возводить различные архитектурные сооружения и убежища. Для тренировки навыка возводите дома, землянки и другие архитектурные сооружения.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures.","The Construction Skill allows you to build various architectural structures and shelters. To train the skill, build houses, dugouts and other architectural structures."
syb_skill_desc14,"The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","Навык владения оружием позволяет вам более эффективно управляться с оружием, а так же производить ремонт и чистку оружия. Для тренировки навыка используйте и обслуживайте оружие.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill.","The weapon skill allows you to more efficiently handle weapons, as well as repair and clean weapons. Use and maintain weapons to train the skill."
syb_skill_desc15,"The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","Навык взлома позволяет открывать закрытые двери и хранилища различной сложности. Для тренировки навыка взламывайте закрытые дома, сейфы и замки.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks.","The hacking skill allows you to open closed doors and vaults of varying complexity. To train the skill, break open houses, safes and locks."
syb_skill_desc16,"The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.",Навык травничества позволяет изготавливать различные медицинские и наркотические препараты из подручных средств. Для тренировки навыка собирайте травы и изготавливайте из них препараты.,"The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them.","The herbalism skill allows you to make various medical and narcotic drugs from improvised means. To train the skill, collect herbs and make preparations from them."
syb_skill_desc17,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,"Навык портного позволяет создавать новую и более качественно ремонтировать старую одежду. А также обрабатывать кожу и создавать из нее изделия. Используйте швейный набор или швейную машину, чтобы улучшить свои навыки.",Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.,Tailoring skill allows you to create new and more efficiently repair old clothes. And also to process leather and create products from it. Use a sewing kit or sewing machine to improve your skill.
syb_adrenaline_name,Adrenalin,Adrenalin,Adrenalin,Adrenalin,Адреналин,Adrenalin,Adrenalin,Adrenalin,Adrenalin,Adrenalin,Adrenalin,Adrenalin,Adrenalin,Adrenalin
syb_med_patch_name,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Бактерицидный лейкопластырь,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster,Bactericidal adhesive plaster
syb_med_patch_desc,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,"Пластырь состоящей из четырех слоев марли, пропитанной раствором антисептиков. С липкой стороны имеется защитное покрытие. Используется при царапинах для остановки слабого кровотечения.",A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.,A plaster consisting of four layers of gauze soaked in a solution of antiseptics. There is a protective coating on the sticky side. Used on scratches to stop minor bleeding.
syb_inspect_player,Inspect,Inspect,Inspect,Inspect,Осмотреть,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect
syb_cutbookpage,Cut page from book,Cut page from book,Cut page from book,Cut page from book,Вырвать страницу,Cut page from book,Cut page from book,Cut page from book,Cut page from book,Cut page from book,Cut page from book,Cut page from book,Cut page from book,Cut page from book
syb_combine,Combine,Combine,Combine,Combine,Объединить,Combine,Combine,Combine,Combine,Combine,Combine,Combine,Combine,Combine
syb_input_hideitem,Hide item from hands,Hide item from hands,Hide item from hands,Hide item from hands,Убрать предмет из рук,Hide item from hands,Hide item from hands,Hide item from hands,Hide item from hands,Hide item from hands,Hide item from hands,Hide item from hands,Hide item from hands,Hide item from hands
syb_skill_progress,Progress:,Progress:,Progress:,Progress:,Прогресс:,Progress:,Progress:,Progress:,Progress:,Progress:,Progress:,Progress:,Progress:,Progress:
syb_perk_name_6000,Reclamation,Reclamation,Reclamation,Reclamation,Рекультивация,Reclamation,Reclamation,Reclamation,Reclamation,Reclamation,Reclamation,Reclamation,Reclamation,Reclamation
syb_perk_name_6001,Greenhouses,Greenhouses,Greenhouses,Greenhouses,Теплицы,Greenhouses,Greenhouses,Greenhouses,Greenhouses,Greenhouses,Greenhouses,Greenhouses,Greenhouses,Greenhouses
syb_perk_name_6002,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Удобрение почвы,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil,Fertilizing the soil
syb_perk_name_6003,Seed collection,Seed collection,Seed collection,Seed collection,Сбор семян,Seed collection,Seed collection,Seed collection,Seed collection,Seed collection,Seed collection,Seed collection,Seed collection,Seed collection
syb_perk_name_6004,Increased harvest,Increased harvest,Increased harvest,Increased harvest,Увеличеный урожай,Increased harvest,Increased harvest,Increased harvest,Increased harvest,Increased harvest,Increased harvest,Increased harvest,Increased harvest,Increased harvest
syb_perk_name_6005,Domestication of chickens,Domestication of chickens,Domestication of chickens,Domestication of chickens,Приручение кур,Domestication of chickens,Domestication of chickens,Domestication of chickens,Domestication of chickens,Domestication of chickens,Domestication of chickens,Domestication of chickens,Domestication of chickens,Domestication of chickens
